title,link,content
/,/
Strategy of Protest and Revolution 1: Basic Elements,https://www.youtube.com/watch?v=YeK1VAZrjso,抗争与革命战略 1：基本要素：理论起点：理解一切革命和抗争行动的最底层逻辑和框架。
The Strategy of Machiavelli,https://www.youtube.com/watch?v=NaORhYKBFZU,马基雅维利战略：古典政治哲学：战略研究的必修课，奠定政治与军事结合的基础。
Chinese Strategy Against the Northern Steppe c.600BC-90AD,https://www.youtube.com/watch?v=iAGKRwirIjU,中国对北方草原的战略（约公元前600年-公元90年）：古代东亚案例：早期地缘政治对抗的经典，涉及长城、和亲与远征。
The Strategy of the Peloponnesian War,https://www.youtube.com/watch?v=TTWmktahm3Q,伯罗奔尼撒战争战略：西方战略源头：古希腊城邦间大战略对抗的总纲。
Geostrategy of the Peloponnesian War 2: Pericles vs Archidamus,https://www.youtube.com/watch?v=1x2Y8EcqzG4,伯罗奔尼撒战争地缘战略 2：伯里克利对阵阿基达马斯：系列课，按编号学习具体的战役与地缘博弈。
Geostrategy of the Peloponnesian War 3: The Archidamian War,https://www.youtube.com/watch?v=KsjT_z4OvX8,伯罗奔尼撒战争地缘战略 3：阿基达米亚战争：系列课，深入了解长期消耗战的策略。
Geostrategy of the Peloponnesian War 4: Syracuse and the Ionian War,https://www.youtube.com/watch?v=tQBOjD4NIRs,伯罗奔尼撒战争地缘战略 4：西西里远征与爱奥尼亚战争：系列课，涉及跨海远征失败的教训。
Geostrategy of the Peloponnesian War 5: Politics and Strategy,https://www.youtube.com/watch?v=PlF1OZ07iVw,伯罗奔尼撒战争地缘战略 5：政治与战略：系列课总结，探讨内政与外部战略的耦合。
Scipio's African Campaign (204-202 BC),https://www.youtube.com/watch?v=n3CTro7gcS8,大西庇阿的非洲战役 (公元前204-202年)：古罗马战略：汉尼拔战争的终结，学习进攻性防御与敌后决战。
Defensive Strategies of the Roman Empire,https://www.youtube.com/watch?v=ymMR_TJt4go&pp=0gcJCcUKAYcqIYzv,罗马帝国的防御战略：大战略思维：学习庞大帝国如何进行边境控制和资源调度。
The Strategy of Saladin 1: The Takeover of Egypt (1164-1169),https://www.youtube.com/watch?v=nRENKQ3STvo,萨拉丁战略 1：夺取埃及：中世纪经典：学习如何通过整合资源建立地区霸权。
The Strategy of Saladin 2: Ruler of Egypt & Syria (1169-1186),https://www.youtube.com/watch?v=9XQkg_ejwPc,萨拉丁战略 2：埃及与叙利亚之主：系列课，学习萨拉丁如何统一伊斯兰世界。
The Strategy of Saladin 3: The View from Jerusalem (1150s-1185),https://www.youtube.com/watch?v=0hiTbEfS4oI,萨拉丁战略 3：耶路撒冷视角：系列课，了解对手（十字军）的地缘局限性。
The Strategy of Saladin 4: The Conquest of Jerusalem (1185-1188),https://www.youtube.com/watch?v=0qhACYUd8-M,萨拉丁战略 4：征服耶路撒冷：系列课，战略收网阶段。
The Strategy of Saladin 5: The Third Crusade (1187-1193),https://www.youtube.com/watch?v=YTUzDhQjlpA&pp=0gcJCcUKAYcqIYzv,萨拉丁战略 5：第三次十字军东征：系列课，顶级战略家（萨拉丁与理查一世）的对决。
The Strategy of Saladin (1164-1193) [Parts 1-5 Complete],https://www.youtube.com/watch?v=Uj-dJAbXZfo,萨拉丁战略 (1164-1193) [1-5全集]：系统回顾：在分集学完后，通过全集进行复盘总结。
The Strategy of the Crusades 1096-1291,https://www.youtube.com/watch?v=Lnx3AmJ2EzQ,十字军东征战略 (1096-1291)：跨度总结：从更宏观的视角审视长达两百年的文明博弈。
The Mongol Conquest of Song China 1230s-1279,https://www.youtube.com/watch?v=2iU66wzMy3Y,蒙古征服南宋 (1230s-1279)：欧亚大陆震荡：学习游牧文明对定居文明的最强战略冲击。
The Dutch Koxinga and Qing Campaigns | The Conquests of Taiwan (1624-1683),https://www.youtube.com/watch?v=5vKNo-IM9qw,荷兰人、郑成功与清军战役 | 征服台湾 (1624-1683)：海权与陆权交织：中国近海地缘政治的转折点。
The Geopolitics of the Mughal Empire,https://www.youtube.com/watch?v=T2yGmeuExeQ,莫卧儿帝国的地缘政治：南亚陆权：理解印度次大陆在英国殖民前的权力分布。
The British Conquest of India (1798-1806) I. Background & Grand Strategy,https://www.youtube.com/watch?v=VgLgM97bdhg,英国征服印度 (1798-1806) I：背景与大战略：殖民体系建立：学习大英帝国如何利用离岸制衡征服次大陆。
The British Conquest of India (1798-1806) II. The 4th Anglo-Mysore War,https://www.youtube.com/watch?v=kBRK_ThvPxo,英国征服印度 (1798-1806) II：第四次英迈战争：系列课，具体的歼灭战与政治渗透。
